ACN,date,quadrant,precursor_score,if_score,spc_flag,Events | Anomaly,component_fatigue,component_comm_breakdown,component_near_miss,component_procedure_deviation,component_urgency,Aircraft 1 | Flight Phase,topic_label,narrative_preview
1979746,2023-03-01,ORANGE,0.825,0.440053280813714,1,"Aircraft Equipment Problem Less Severe; Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural Landing Without Clearance; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy",4,1,3,1,2,Landing,3_runway_aircraft_traffic_on,"I was Pilot monitoring and had just switched frequencies from approach to tower. Visibility was 5 miles in haze, and we were able to see the runway just outside of the FAF (ZZZZZ, RNAV XX). I checked in with tower and we're subsequently cleared to land. I illuminated the landing lights and the PF (P"
1780276,2020-12-01,ORANGE,0.8,0.22735321855481794,1,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Taxiway,4,2,1,1,2,Climb; Descent; Taxi,-1_the_to_and_was,"I wanted to take a few minutes to relate to you my personal experiences during the events that transpired.  We were at the tail end of a lengthy four day trip, with the usual holiday related challenges; weather, maintenance, crew-placarding, lengthy sit times, de-icing etc. On the third day of the t"
1958821,2022-12-01,ORANGE,0.8,0.591901126228432,1,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,2,0,2,3,2,Cruise,9_drone_the_was_it,"As the Remote Pilot in Command (RPIC) on the date(s) of the incident I was operating a recently acquired DJI Mavic 3 Enterprise, which has a weight of approximately 2 pounds. It was daytime, sunny, very little wind, and partly cloudy skies.I have used FAA DroneZone successfully in the past so as soo"
1891032,2022-04-01,ORANGE,0.775,0.5566154204313356,1,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,1,1,2,2,2,Cruise,22_sector_aircraft_to_sectors,"At approximately XA:05AM local time on Date I arrived at work and saw on our overhead weather display that there was a solid line of extreme precipitation that cut straight through the middle of our specialty West to East moving Eastward. Furthermore, as everyone in our area and management knew well"
1762721,2020-09-01,ORANGE,0.75,0.020622698904790737,1,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,1,3,1,2,2,Cruise,-1_the_to_and_was,"Due to weather and a supposed power outage at the airport, we were delayed approximately 1 hour from our scheduled departure time. This was the start of leg 2 for the day as we already operated out of ZZZ. There was another issue I will discuss after the conclusion of our [priority handling] event. "
1569469,2018-08-01,ORANGE,0.725,0.25857675644673417,1,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,4,0,2,2,1,Climb,-1_the_to_and_was,"Between scheduled days off, a short medical issue, and sitting R1 waiting for an assignment, I'd been off duty for 2-3 weeks prior to this event. Additionally, due to heavy crew flights I hadn't been up front for a departure in almost a month. Prior to the flight I realized I wasn't the most current"
1725216,2020-02-01,ORANGE,0.725,0.42955877616417504,1,"Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence",2,0,2,1,3,Parked,-1_the_to_and_was,"On Day 2 of a 3 Day Trip, we experienced an irregular operation on our second leg, flight ZZZ-ZZZ1. The weather in ZZZ1 had deteriorated to sub-CAT 1, with low ceiling, low visibility and reports of moderate icing in the ZZZ1 terminal area. We prepared for an autoland approach to Runway XX. While es"
1737621,2020-03-01,ORANGE,0.725,0.20101434901430282,1,Deviation / Discrepancy - Procedural Published Material / Policy,4,0,2,2,1,Climb,0_engine_the_and_we,"On climbout from ZZZ, at approximately 13,300 feet the Cabin Altitude Warning horn sounded and the Cabin Warning light illuminated. As the PF, I immediately disengaged the autothrottles, began to level off and informed the FO that 'I had the radios.' I then called ATC and told them I needed to level"
1932078,2022-09-01,ORANGE,0.725,0.046383702794046355,1,"ATC Issue All Types; Conflict Ground Conflict, Critical; Ground Incursion Runway",2,2,1,2,0,Landing,-1_the_to_and_was,Having received a landing clearance the transition from ILS DME2 Runway 14 to a visual approach was continued. Captain was Flying Pilot. 1000 ft. stable call was made. At about 600 ft. I asked the FO (First Officer) 'Is that paint on the runway?' Slight hesitation and I think the answer was somethin
1584265,2018-10-01,ORANGE,0.7,0.23198118208210072,1,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,4,1,1,1,2,Takeoff / Launch,20_frequency_to_and_the,"The Captain and I were getting ready to push on leg 4/4, [out of SJC], on what had become a pretty long day. The pushback crew was trying to establish communication; the Ops Agent had just given us our [information] sheet which said we had like 25 minutes left to get airborne without a waiver. We ha"
1704529,2019-11-01,ORANGE,0.7,0.10788448654735516,1,Deviation / Discrepancy - Procedural Published Material / Policy,4,1,1,2,1,Takeoff / Launch,21_to_and_the_that,Bottom line short version was took off on correct runway (XXR) but had XXL in FMC. Now the long version. This leg falls in the middle of an 11 day trip and was suspected to be the hardest night since 2 legs at night after acclimating to [a far off timezone]. We come off [several days] in [a differen
1712204,2019-12-01,ORANGE,0.7,0.533975383888234,1,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,2,1,1,2,1,Takeoff / Launch,9_drone_the_was_it,Unintentionally flew drone in ZZZ Class B airspace without authorization for 12 minutes.How the problem arose:1. I assumed authorization of an LAANC request without verifying a text authorization was received.2. A one minute miscalculation caused the LAANC rejection of flying at night. Sunset was at
1758480,2020-08-01,ORANGE,0.7,0.018617138774166153,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,2,1,1,2,1,Cruise,11_and_the_to_was,The main reason for filing this report is the [priority handling request] due to multiple repeat aircraft malfunctions. Also pertinent from a safety standpoint are events involved in the preparation and execution of this flight. I will address these administrative factors at the end of my narrative.
1905586,2022-06-01,ORANGE,0.7,0.39880868326682795,1,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,1,1,3,2,1,Initial Climb,3_runway_aircraft_traffic_on,"Background: During my third dual flight lesson as a CFI candidate on Date in Aircraft X at AKR, I was in the right seat as PIC (Pilot in Command) (instructor in left seat), practicing takeoffs and landings in the AKR pattern, and there were 1-2 other airplanes also doing pattern work. I left a littl"
1945726,2022-10-01,ORANGE,0.7,0.08452850893207298,1,"ATC Issue All Types; Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Aircraft; Ground Incursion Taxiway",2,1,1,2,1,Taxi,3_runway_aircraft_traffic_on,"I was CA (Captain) taxiing Aircraft X for departure from the ZZZ 'X' gates to Runway XXL, when we narrowly avoided a collision with a Aircraft Y single engine turboprop. Conditions were the pre-dawn period of civil twilight, VMC, dry pavement, and extensive construction zone hazard lighting in the v"
1693387,2019-10-01,ORANGE,0.675,0.3549169912461133,1,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,0,2,2,2,1,Descent,1_the_to_approach_and,"While descending via on the DSNEE 4 RNAV arrival into SNA we were given a set of instructions approximately 5 miles from the DSNEE fix. I remember it as being, Aircraft X, after DSNEE, slow to 190 kts. and descend and maintain 6,300 ft. I repeated this instruction back to ATC and I believe my partne"
1746738,2020-06-01,ORANGE,0.675,0.08018083590831893,1,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Unstabilized Approach,0,2,3,1,2,Initial Approach,-1_the_to_and_was,"As a line check airman, I was teaching and providing operating experience to a First Officer (FO) transitioning back to the Aircraft X type, after flying another aircraft type.  I was the pilot flying and the trainee FO was in the pilot monitoring role.  During our arrival into ZZZ, we received a ST"
1929726,2022-08-01,ORANGE,0.675,0.13480762628895115,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Strike - Aircraft,1,0,2,2,3,Landing,2_gear_the_to_and,"Practicing power off 180's with Instructor at ZZZ. I did a GUMPS shock midfield, but failed to extend the gear. Once power was set to idle the gear unsafe horn came on, after doing various other power off maneuvers at altitude, my brain ignored the warning horn and I became hyper focused on speed an"
1573174,2018-08-01,ORANGE,0.65,0.2536035039115345,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Gear Up Landing; Inflight Event / Encounter Fuel Issue,0,1,4,3,2,Final Approach,-1_the_to_and_was,"My friend, who is a Gold Seal CFII, and I departed to do an engine break-in flight in my Cessna. I was in the left seat. We had waited about 2 hours for the ceilings to lift above 1000 feet so that we would have visual conditions if we were to have an engine failure. My mechanic had flown my Cessna "
1696045,2019-10-01,ORANGE,0.65,0.3153604287748465,1,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Gear Up Landing,0,1,2,2,2,Landing,2_gear_the_to_and,"The event being reported is a mistaken, inadvertent gear up landing at ZZZ in a Cessna P210 after a short flight from ZZZ1. At the time of this incident, I had 775 hours in type (in this particular aircraft), 997 hours total time in retractable gear aircraft, and 1560+ hours flight time logged. This"
1706031,2019-11-01,ORANGE,0.65,0.10809008661162478,1,Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,2,0,2,0,2,Landing,-1_the_to_and_was,"Beautiful night, last leg into ZZZ, slightly high but configured early with flaps 5 and gear down. Announced and selected V/S to gently get down glidepath for smoothness. RNAV XXL was set up and we were getting vectored for the visual. Airport in sight since ZZZ1. Autopilot on. Good rapport with FO,"
1738798,2020-03-01,ORANGE,0.65,0.44034811199146373,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,3,0,2,1,1,Takeoff / Launch,21_to_and_the_that,"A chain of events culminated in a rejected takeoff that likely would have resulted in a low level in flight engine failure had the takeoff been continued. The mission was to deliver Aircraft X on amphibious floats to ZZZZ. With the current coronavirus restrictions, most flights have been canceled. O"
1738767,2020-03-01,ORANGE,0.65,0.12062118994190807,1,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,2,0,2,1,1,Initial Approach,8_door_the_and_to,"On day four of day six of flying, tired and distracted I failed to properly disarm the main cabin exit door prior to crosschecking. On day four of day six of flying, I failed to properly disarm the forward cabin entry door and did not properly cross-check. As I opened the door, I could tell somethin"
1776784,2020-12-01,ORANGE,0.65,0.46325889658098407,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy,1,1,1,3,2,Parked,6_maintenance_the_that_and,"My Recommendation: Because there is what I believe to be a low but uncertain chance that the primary pressure vessel of the Aircraft X has a current active failure, the aircraft should be immediately grounded, and an investigation be initiated into whether this issue is just a classification and eng"
1905306,2022-06-01,ORANGE,0.65,0.13380593412344666,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,1,1,1,2,2,Parked,4_smell_smoke_the_odor,"I arrived at the aircraft having received an add-on turn to ZZZ1 after completing my scheduled three-day. The F/O (First Officer) and Flight Attendants were already there, and the APU was being used to provide expedited cooling, since the aircraft had previously been sitting without any cooling and "
1559340,2018-07-01,ORANGE,0.625,0.46242988978685584,1,Deviation - Altitude Undershoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,3,1,1,2,0,Descent,21_to_and_the_that,I will begin by affirming that the Buck stops with me and I failed to monitor the automation and Pilot Flying (PF) as necessary. We debriefed each other and both agree on what happened and how to ensure it doesn't again. I did check many of the factors squares and even though items I will mention di
1567926,2018-08-01,ORANGE,0.625,0.10841130573987079,1,Deviation / Discrepancy - Procedural Other / Unknown; Flight Deck / Cabin / Aircraft Event Illness / Injury; Ground Event / Encounter Other / Unknown,2,1,1,0,2,Parked,29_air_cabin_temperature_the,"The flight was planned as a two-leg trip. There were 4 planned crewmembers, but one was an FO (First Officer) on IOE with a Check Airman so effectively we were a 3-person crew. The aircraft arrived over 24 hours behind schedule due to previous rolling delays and the APU had been deferred for at leas"
1699210,2019-11-01,ORANGE,0.625,0.19605170796663762,1,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,3,1,1,1,1,Cruise,-1_the_to_and_was,"At XA46 received CPDLC (Controller Pilot Data Link Communications) clearance to deviate +/- 25 NM for weather. At approximately XB05, [we] returned to centerline to split two thunderstorm cells, but verbalized, 'We're back on course, but don't report back on course as we're still needing to deviate."
1725079,2020-02-01,ORANGE,0.625,0.2717543539094045,1,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,2,1,1,1,1,Final Approach,1_the_to_approach_and,"On approach into Boston, at night with visibility unlimited. We were initially cleared direct to RIPIT, the outer marker, and to descend to 2000 ft, on approach over the water to Runway 27. The altitude at RIPIT is charted at 1700 ft.With no traffic between us and the airport, we were then cleared d"
1757150,2020-08-01,ORANGE,0.625,0.025155687246189773,1,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown,1,1,2,0,2,Cruise,29_air_cabin_temperature_the,FO (First Officer) and I left the hotel to have breakfast together at the airport as the food available at the hotel is limited. After breakfast we proceeded to the departure gate.The aircraft was extremely hot when we first boarded and there was no airflow. While I briefed Purser and the cabin crew
1776315,2020-12-01,ORANGE,0.625,0.21578844427650112,1,"Conflict Ground Conflict, Less Severe; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Runway",1,2,0,2,2,Taxi,3_runway_aircraft_traffic_on,"After landing and during rollout on RW (Runway) XXR, we were instructed to 'make left turn if able and hold short of [Runway] XXL, then notify if gate was open'. As PF (Pilot Flying), I had already briefed during approach briefing that we would likely make left turn on [Taxiway] XX then hold short o"
1895362,2022-04-01,ORANGE,0.625,0.2583153484345845,1,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,3,1,1,1,1,Taxi,4_smell_smoke_the_odor,In ZZZ before Aircraft X to ZZZ we had Maintenance out because none of the PA's were working. The pilot to cabin and F/As (Flight Attendants) wasn't working and you could not hear any announcements from the front or back PA. Maintenance was able to turn the volume up on everything but the Aft PA so 
1987312,2023-03-01,ORANGE,0.625,0.3512291025114197,1,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; No Specific Anomaly Occurred Unwanted Situation,0,2,1,2,4,Takeoff / Launch; Taxi,-1_the_to_and_was,Angry Controller. We were preparing for taxi and takeoff. The runway had changed and we were preparing the avionics adjustments and briefing while taxiing. I am also doing IOE (Initial Operating Experience) with a new student. Upon reaching the approaching the end of the Runway XXL in ZZZ my student
1984105,2023-03-01,ORANGE,0.625,0.2672749255717537,1,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Event / Encounter Loss Of Aircraft Control,1,1,2,0,2,Taxi,7_brake_the_tug_parking,We were getting pushed off of gate XXX in ZZZ. On pushback we were told we were cleared to start engines. We started engine 1. We were never told to set brakes once push was complete. We started moving forward and I saw the tug and tow bar ahead of us moving away. I asked the Captain if they disconn
1979603,2023-03-01,ORANGE,0.625,0.09442562715485503,1,Aircraft Equipment Problem Less Severe; Deviation - Altitude Overshoot; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter CFTT / CFIT,0,3,1,2,2,Descent; Initial Approach; Final Approach,-1_the_to_and_was,"I was a SIC on a series of flights that departed ZZZ, with legs in ZZZ1, ZZZ2 and ZZZ3 with a return to ZZZ. I was flying with a CA (Captain) I had yet to fly with out of the ZZZ base. I arrived early as usual, and proceeded to do a walk around, and then started on duties to prepare the aircraft for"
2008059,2023-06-01,ORANGE,0.625,0.5176304277045748,1,ATC Issue All Types; Conflict NMAC; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Inflight Event / Encounter CFTT / CFIT,0,2,1,3,2,Descent,-1_the_to_and_was,"I was working Sector X. Our main frequency site failed, all of ZZZ TRACON Northern Airspace transmitters also failed. Despite that fact that neither of us could talk to airplanes effectively or safely we once again absorbed the Northern Airspace from ZZZ Approach. On [Sector] X I was using the east "
1698655,2019-10-01,ORANGE,0.6,0.4699473468691556,1,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,2,0,1,1,2,Climb,5_turbulence_wake_we_the,"I was the PF (Pilot Flying) on flight (number) from ZZZ1-ZZZ2. On the flight inbound from ZZZ we had continuous moderate turbulence from 10,000 feet to landing. Winds at 6,000 feet were still blowing over 70 kts, so we expected more turbulence on departure. With the departure off Runway XX, the path"
1751848,2020-07-01,ORANGE,0.6,0.043503908960219495,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,2,0,1,3,1,Initial Approach,-1_the_to_and_was,"Vectored to join the Rwy XX ILS inside ZZZZZ, called the field and cleared for the visual. Disconnected to autopilot to descend and join the glide slope (which was below us). Continued to hand fly since the Aircraft wouldn't lock the glide slope outside the localizer. As localizer came in, the fligh"
1759106,2020-08-01,ORANGE,0.6,0.6472836378907055,1,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,2,0,1,1,2,Landing,-1_the_to_and_was,"On the approach to Runway XX at ZZZ Airport after a standard right-hand traffic pattern, I was slightly higher than I should have been. This was largely due to concerns about the potential for strong wind drafts coming off the cliff at the approach end of Runway XX and it may have been the case that"
1756044,2020-08-01,ORANGE,0.6,0.6763146060520093,1,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,2,0,1,3,1,,-1_the_to_and_was,During my shift [I] was tasked to complete slat adjustment on #11 slat. A few hours in it was noticed that the outboard target on the auxiliary track was not lining up with its sensor. A quick glance at the adjacent slat seemed to confirm that the targets were not in the correct position. Being unde
1763678,2020-09-01,ORANGE,0.6,0.504350417084441,1,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach,0,2,2,0,2,Initial Approach,-1_the_to_and_was,"Throughout the arrival ATC requested best forward speed, comply at ZZZZZ: 230kts, 10,000 ft. After ZZZZZ, we were vectored for the approach to XXL. We called the airport in sight and ATC cleared us for the approach. We were also requested to slow to 160kts for spacing with an aircraft in front of us"
1775898,2020-12-01,ORANGE,0.6,0.3637614382228269,1,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,2,2,0,0,2,Taxi,4_smell_smoke_the_odor,"During taxi FA-B and I (FA-C) smelled a glue/stinky sock odor.Then we got headaches, Dizzy, Light headed, Confusion.FA-B called FA-A asked if she noticed any smell of felt ok. She didn't notice a smell but didn't feel well.Symptoms weren't going away so FA-B called the flight deck to notify.We went "
1892421,2022-04-01,ORANGE,0.6,0.086575838169483,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Ground Event / Encounter Ground Strike - Aircraft; Ground Event / Encounter Loss Of Aircraft Control,1,0,2,1,3,Takeoff / Launch,-1_the_to_and_was,"On DATE, crew scheduling contacted me requesting that I fly Aircraft X that evening due to crew fatigue. The previous crew had experienced a series of mechanical problems throughout the day, and I was to be the relief captain. Knowing this, I arrived at the gate approximately 15-20 minutes before sc"
1897212,2022-05-01,ORANGE,0.6,0.4061523958510501,1,"Aircraft Equipment Problem Less Severe; Conflict Ground Conflict, Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue",0,3,4,1,1,Taxi,7_brake_the_tug_parking,Almost hit another aircraft by inches. Thus pushback off CLT [Gate] XX first started bad with female Tug Driver on inter phone just saying non standard incomplete 'all secure below ready for pushback when you are.' Instructions were to pushback then pull to abeam [Gate] XY. Also indicating she was n
1914638,2022-07-01,ORANGE,0.6,0.428826659860432,1,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,0,2,2,0,2,Cruise,0_engine_the_and_we,"Normal flights from ZZZ3 - ZZZ2 - ZZZ1. No indications of any anomalies. Normal engine starts in ZZZ1 for flight to ZZZ4. Oil quantity at start in ZZZ1 - Eng 1 10 QTS, Eng 2 12 QTS. First Officer (FO) pilot flying (PF) on this leg, Captain was pilot monitoring (PM). Normal departure off Runway XL in"
1930344,2022-08-01,ORANGE,0.6,0.2561027794904358,1,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,0,3,2,1,1,Initial Approach,-1_the_to_and_was,"I experienced a near miss on entry to the traffic pattern with another aircraft already in the left downwind. Coming from the east, I made a planned an entry to left hand traffic for [Runway] 16 via flying over midfield at 4,500 MSL (1,500 feet above traffic pattern). During descent from the east to"
1975037,2023-02-01,ORANGE,0.6,0.5649738396734221,1,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,0,2,2,0,2,Initial Climb,11_and_the_to_was,"Shortly after departure during climb-out, ZZZ Approach could not hear our transmissions, we could hear theirs. The last transmission heard was, 'Turn back to ZZZ.' At that time we had lost GPS, some flight instruments, and all communications. We descended through the clouds to get into VMC. Heading "
1562635,2018-07-01,ORANGE,0.575,0.33614454137351646,1,Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,0,1,2,1,2,Cruise,5_turbulence_wake_we_the,"While at level cruise of FL320, we approached a very narrow and rapidly developing isolated thunderstorm. Enroute controllers typically do an exceptional job of calling out severe weather and no such callout was made to alert of the weather. Equally important is the failure of this cell to appear on"
